PosX,PosY,PosZ,DirX,DirY,DirZ,LeftX,LeftY,LeftZ,RightX,RightY,RightZ
261.287,-21.594,-24.137,0.997,0.040,-0.067,260.978,-21.767,-14.392,261.597,-21.421,-33.882
266.278,-21.395,-24.473,0.999,0.043,-0.017,267.419,-21.511,-14.790,265.138,-21.279,-34.156
271.280,-21.179,-24.559,0.997,0.045,-0.067,271.935,-21.318,-14.831,270.625,-21.040,-34.287
276.270,-20.955,-24.895,0.999,0.048,-0.017,276.438,-21.120,-15.146,276.102,-20.790,-34.643
281.271,-20.715,-24.981,0.996,0.050,-0.067,281.926,-20.858,-15.253,280.616,-20.572,-34.709
286.260,-20.465,-25.317,0.992,0.054,-0.117,286.428,-20.636,-15.568,286.092,-20.293,-35.066
291.226,-20.193,-25.902,0.996,0.055,-0.067,291.881,-20.341,-16.174,290.571,-20.046,-35.630
296.213,-19.918,-26.238,0.998,0.057,-0.017,297.354,-20.040,-16.555,295.073,-19.796,-35.921
301.211,-19.630,-26.324,0.984,0.061,-0.165,301.866,-19.783,-16.596,300.556,-19.478,-36.052
306.189,-19.320,-27.159,0.998,0.062,-0.017,306.357,-19.507,-17.411,306.022,-19.134,-36.908
311.235,-19.008,-27.246,0.984,0.066,-0.165,312.849,-19.105,-17.630,309.621,-18.911,-36.861
316.212,-18.675,-28.081,0.998,0.065,-0.017,316.379,-18.869,-18.333,316.045,-18.481,-37.830
321.257,-18.346,-28.167,0.984,0.069,-0.165,322.871,-18.445,-18.552,319.642,-18.246,-37.783
326.232,-17.995,-29.003,0.991,0.069,-0.116,326.399,-18.197,-19.254,326.066,-17.794,-38.751
331.193,-17.647,-29.582,0.984,0.072,-0.165,332.807,-17.751,-19.966,329.579,-17.544,-39.197
336.118,-17.288,-30.408,0.991,0.071,-0.116,337.249,-17.429,-20.724,334.988,-17.148,-40.093
341.078,-16.931,-30.987,0.984,0.073,-0.165,342.692,-17.038,-21.372,339.464,-16.823,-40.603
346.002,-16.566,-31.814,0.974,0.073,-0.214,347.133,-16.712,-22.130,344.872,-16.420,-41.498
350.879,-16.198,-32.886,0.984,0.073,-0.165,352.493,-16.311,-23.270,349.265,-16.086,-42.501
355.803,-15.835,-33.712,0.948,0.074,-0.310,357.896,-15.914,-24.190,353.710,-15.755,-43.235
360.597,-15.463,-35.277,0.962,0.072,-0.262,362.210,-15.580,-25.662,358.983,-15.345,-44.893
365.414,-15.102,-36.587,0.962,0.072,-0.262,368.440,-15.117,-27.319,362.388,-15.087,-45.856
370.227,-14.743,-37.896,0.948,0.070,-0.310,372.850,-14.796,-28.246,367.603,-14.689,-47.545
374.973,-14.392,-39.445,0.932,0.069,-0.357,377.531,-14.447,-30.037,372.415,-14.337,-48.854
379.637,-14.047,-41.231,0.913,0.067,-0.403,382.663,-14.068,-31.962,376.611,-14.025,-50.499
384.206,-13.713,-43.248,0.892,0.065,-0.448,387.692,-13.705,-34.142,380.720,-13.720,-52.353
388.669,-13.387,-45.491,0.868,0.063,-0.492,392.607,-13.349,-36.572,384.732,-13.425,-54.411
393.015,-13.073,-47.955,0.843,0.061,-0.535,397.394,-13.007,-39.244,388.636,-13.139,-56.667
397.232,-12.769,-50.634,0.815,0.058,-0.577,402.042,-12.675,-42.153,392.423,-12.864,-59.116
401.311,-12.477,-53.521,0.785,0.056,-0.617,406.539,-12.357,-45.291,396.084,-12.597,-61.751
405.241,-12.196,-56.609,0.753,0.054,-0.655,410.874,-12.050,-48.651,399.608,-12.342,-64.567
409.012,-11.925,-59.890,0.720,0.052,-0.692,415.036,-11.756,-52.223,402.988,-12.095,-67.556
412.615,-11.667,-63.355,0.684,0.050,-0.728,419.014,-11.474,-56.000,406.215,-11.861,-70.711
416.040,-11.418,-66.997,0.647,0.047,-0.761,422.799,-11.203,-59.971,409.280,-11.633,-74.024
419.279,-11.182,-70.806,0.608,0.045,-0.792,426.381,-10.945,-64.127,412.177,-11.418,-77.486
422.324,-10.954,-74.773,0.568,0.043,-0.822,429.752,-10.698,-68.457,414.897,-11.211,-81.089
425.167,-10.739,-78.887,0.526,0.041,-0.849,432.901,-10.464,-72.950,417.434,-11.014,-84.824
427.802,-10.533,-83.139,0.483,0.039,-0.875,435.823,-10.239,-77.596,419.781,-10.826,-88.682
430.221,-10.338,-87.517,0.483,0.039,-0.875,438.509,-10.027,-82.382,421.933,-10.648,-92.652
432.637,-10.144,-91.890,0.439,0.037,-0.898,440.952,-9.826,-87.296,424.321,-10.462,-96.484
434.834,-9.961,-96.384,0.439,0.036,-0.898,443.368,-9.638,-91.670,426.300,-10.284,-101.099
437.028,-9.779,-100.873,0.347,0.032,-0.937,445.563,-9.450,-96.701,428.494,-10.109,-105.046
438.774,-9.616,-105.582,0.347,0.032,-0.937,447.308,-9.290,-101.409,430.239,-9.943,-109.754
440.511,-9.455,-110.267,0.347,0.032,-0.937,449.419,-9.099,-106.965,431.603,-9.811,-113.570
442.248,-9.295,-114.953,0.252,0.028,-0.967,451.156,-8.942,-111.651,433.341,-9.647,-118.255
443.517,-9.153,-119.813,0.252,0.028,-0.967,452.424,-8.803,-116.510,434.609,-9.502,-123.115
444.779,-9.013,-124.649,0.252,0.028,-0.967,453.971,-8.638,-122.249,435.587,-9.388,-127.048
446.041,-8.872,-129.485,0.252,0.028,-0.967,455.233,-8.501,-127.085,436.849,-9.244,-131.884
447.303,-8.732,-134.321,0.204,0.026,-0.979,456.495,-8.364,-131.921,438.111,-9.101,-136.720
448.324,-8.602,-139.220,0.105,0.022,-0.994,457.758,-8.227,-136.757,438.890,-8.977,-141.682
448.854,-8.491,-144.215,0.204,0.026,-0.979,458.154,-8.116,-142.278,439.553,-8.866,-146.152
449.878,-8.360,-149.133,0.056,0.020,-0.998,459.325,-7.966,-148.131,440.431,-8.755,-150.135
450.163,-8.258,-154.179,0.056,0.020,-0.998,459.708,-7.880,-152.191,440.618,-8.636,-156.167
450.445,-8.157,-159.170,0.056,0.021,-0.998,459.930,-7.759,-158.634,440.960,-8.555,-159.706
450.727,-8.054,-164.161,0.006,0.019,-1.000,460.212,-7.659,-163.625,441.242,-8.449,-164.697
450.759,-7.961,-169.166,-0.093,0.015,-0.996,460.494,-7.560,-168.616,441.025,-8.362,-169.716
450.292,-7.885,-174.168,-0.043,0.017,-0.999,459.792,-7.489,-174.107,440.792,-8.282,-174.230
450.076,-7.799,-179.169,-0.191,0.012,-0.982,459.783,-7.379,-180.076,440.368,-8.219,-178.262
449.110,-7.736,-184.131,-0.191,0.012,-0.982,458.851,-7.329,-184.553,439.370,-8.143,-183.710
448.156,-7.674,-189.039,-0.288,0.011,-0.958,457.481,-7.261,-190.853,438.831,-8.088,-187.225
446.710,-7.620,-193.851,-0.335,0.009,-0.942,456.036,-7.211,-195.665,437.385,-8.030,-192.037
445.033,-7.575,-198.567,-0.513,0.004,-0.858,454.371,-7.150,-201.372,435.695,-7.999,-195.763
442.415,-7.554,-202.943,-0.513,0.005,-0.858,451.365,-7.140,-206.127,433.464,-7.968,-199.759
439.848,-7.529,-207.233,-0.635,0.005,-0.772,448.000,-7.107,-212.111,431.696,-7.951,-202.356
436.637,-7.505,-211.139,-0.709,0.002,-0.705,445.004,-7.077,-216.145,428.270,-7.933,-206.133
433.076,-7.497,-214.684,-0.806,0.001,-0.592,440.414,-7.083,-220.717,425.737,-7.912,-208.651
429.003,-7.492,-217.679,-0.834,0.000,-0.552,435.881,-7.064,-224.590,422.125,-7.921,-210.769
424.827,-7.491,-220.440,-0.885,0.002,-0.466,430.604,-7.068,-228.294,419.050,-7.914,-212.586
420.380,-7.481,-222.780,-0.927,-0.001,-0.375,425.619,-7.070,-230.705,415.141,-7.892,-214.856
415.723,-7.487,-224.667,-0.960,-0.001,-0.281,420.147,-7.082,-233.073,411.298,-7.891,-216.260
410.901,-7.491,-226.080,-0.960,0.000,-0.281,414.467,-7.085,-234.885,407.335,-7.897,-217.275
406.103,-7.491,-227.486,-0.972,0.001,-0.233,408.775,-7.089,-236.603,403.431,-7.893,-218.370
401.234,-7.484,-228.653,-0.983,0.000,-0.184,403.976,-7.076,-238.009,398.492,-7.893,-219.296
396.314,-7.486,-229.574,-0.983,0.002,-0.184,398.585,-7.082,-239.056,394.042,-7.890,-220.093
391.399,-7.477,-230.495,-0.996,-0.002,-0.085,393.148,-7.085,-239.832,389.650,-7.868,-221.157
386.392,-7.485,-230.924,-0.996,0.000,-0.085,388.141,-7.098,-240.261,384.644,-7.872,-221.586
381.411,-7.485,-231.350,-0.996,0.000,-0.085,382.221,-7.100,-240.815,380.600,-7.871,-221.885
376.429,-7.483,-231.777,-0.999,0.000,-0.035,377.239,-7.101,-241.242,375.618,-7.865,-222.311
371.426,-7.484,-231.954,-0.999,0.000,-0.035,372.257,-7.095,-241.668,370.594,-7.873,-222.239
366.429,-7.483,-232.131,-1.000,0.000,0.015,366.765,-7.107,-241.625,366.092,-7.860,-222.637
361.423,-7.485,-232.058,-1.000,0.000,0.015,361.768,-7.102,-241.802,361.078,-7.869,-222.314
356.424,-7.486,-231.985,-1.000,0.001,0.015,356.285,-7.116,-241.484,356.562,-7.857,-222.486
351.424,-7.480,-231.912,-0.998,0.000,0.065,351.285,-7.113,-241.411,351.563,-7.848,-222.413
346.428,-7.482,-231.589,-0.998,0.001,0.065,346.286,-7.108,-241.338,346.571,-7.856,-221.840
341.439,-7.478,-231.266,-0.987,-0.002,0.164,340.826,-7.115,-240.746,342.052,-7.840,-221.786
336.481,-7.489,-230.444,-0.993,0.001,0.114,335.868,-7.131,-239.924,337.095,-7.848,-220.964
331.508,-7.484,-229.873,-0.987,0.000,0.164,329.913,-7.118,-239.492,333.103,-7.851,-220.254
326.569,-7.486,-229.054,-0.987,0.001,0.164,325.457,-7.123,-238.740,327.682,-7.848,-219.367
321.637,-7.480,-228.236,-0.977,0.000,0.213,320.082,-7.128,-237.608,323.191,-7.832,-218.864
316.745,-7.480,-227.171,-0.965,-0.001,0.261,315.149,-7.123,-236.789,318.340,-7.838,-217.552
311.912,-7.483,-225.863,-0.965,0.000,0.261,309.839,-7.127,-235.390,313.986,-7.839,-216.336
307.086,-7.484,-224.557,-0.951,0.000,0.309,304.604,-7.140,-233.727,309.568,-7.828,-215.387
302.325,-7.485,-223.009,-0.951,0.000,0.309,299.778,-7.134,-232.420,304.872,-7.836,-213.598
297.570,-7.485,-221.463,-0.934,0.000,0.356,294.633,-7.145,-230.498,300.507,-7.824,-212.428
292.892,-7.487,-219.679,-0.934,0.000,0.356,289.878,-7.141,-228.952,295.907,-7.832,-210.407
288.220,-7.487,-217.898,-0.934,0.001,0.356,284.836,-7.152,-226.774,291.605,-7.822,-209.021
283.549,-7.481,-216.116,-0.915,0.000,0.403,280.164,-7.149,-224.993,286.934,-7.814,-207.240
278.966,-7.483,-214.101,-0.915,0.001,0.403,275.492,-7.145,-223.211,282.440,-7.821,-204.991
274.389,-7.480,-212.088,-0.894,-0.001,0.448,270.565,-7.152,-220.784,278.213,-7.808,-203.392
269.913,-7.485,-209.846,-0.894,0.000,0.448,265.988,-7.151,-218.771,273.838,-7.819,-200.921
265.442,-7.486,-207.607,-0.894,0.000,0.448,261.188,-7.163,-216.101,269.696,-7.809,-199.113
260.971,-7.486,-205.368,-0.894,0.000,0.448,256.717,-7.165,-213.862,265.226,-7.808,-196.874
256.501,-7.484,-203.129,-0.894,0.000,0.448,252.246,-7.165,-211.623,260.755,-7.803,-194.634
252.030,-7.482,-200.889,-0.871,-0.001,0.492,247.776,-7.165,-209.383,256.285,-7.799,-192.395
247.672,-7.486,-198.426,-0.894,0.001,0.448,243.305,-7.163,-207.144,252.038,-7.809,-189.709
243.196,-7.482,-196.184,-0.871,-0.001,0.492,238.399,-7.161,-204.673,247.992,-7.803,-187.696
238.837,-7.486,-193.721,-0.894,0.001,0.448,234.470,-7.167,-202.438,243.204,-7.805,-185.004
234.361,-7.482,-191.479,-0.871,-0.001,0.492,229.564,-7.165,-199.967,239.158,-7.799,-182.990
230.003,-7.486,-189.016,-0.894,0.001,0.448,225.636,-7.171,-197.733,234.370,-7.800,-180.298
225.527,-7.482,-186.773,-0.871,-0.001,0.492,220.730,-7.169,-195.261,230.324,-7.795,-178.285
221.168,-7.487,-184.310,-0.894,0.001,0.448,216.801,-7.176,-193.027,225.536,-7.798,-175.593
216.692,-7.484,-182.067,-0.894,0.000,0.448,211.895,-7.176,-190.556,221.490,-7.793,-173.579
212.222,-7.483,-179.828,-0.894,0.000,0.448,207.967,-7.184,-188.321,216.478,-7.781,-171.334
207.752,-7.481,-177.588,-0.894,0.000,0.448,203.496,-7.184,-186.081,212.007,-7.778,-169.094
203.282,-7.482,-175.348,-0.894,0.000,0.448,199.026,-7.187,-183.841,207.537,-7.777,-166.854
198.811,-7.482,-173.108,-0.894,0.000,0.448,194.556,-7.189,-181.601,203.067,-7.776,-164.615
194.341,-7.485,-170.868,-0.915,0.001,0.403,190.085,-7.194,-179.361,198.597,-7.776,-162.375
189.759,-7.480,-168.851,-0.894,-0.001,0.448,185.391,-7.183,-177.568,194.127,-7.777,-160.135
185.283,-7.485,-166.608,-0.915,0.000,0.403,181.356,-7.190,-175.532,189.211,-7.780,-157.684
180.701,-7.483,-164.592,-0.915,0.000,0.403,176.333,-7.190,-173.308,185.070,-7.775,-155.875
176.125,-7.483,-162.578,-0.915,0.000,0.403,172.298,-7.200,-171.273,179.952,-7.766,-153.882
171.549,-7.484,-160.563,-0.915,-0.001,0.403,167.722,-7.202,-169.258,175.376,-7.765,-151.868
166.972,-7.487,-158.549,-0.934,0.001,0.357,163.145,-7.208,-167.244,170.799,-7.766,-149.854
162.295,-7.484,-156.763,-0.934,0.000,0.357,158.367,-7.199,-165.687,166.223,-7.768,-147.840
157.624,-7.483,-154.980,-0.934,0.000,0.357,154.236,-7.207,-163.855,161.013,-7.758,-146.105
152.953,-7.483,-153.196,-0.934,-0.001,0.357,149.565,-7.210,-162.072,156.342,-7.756,-144.321
148.282,-7.486,-151.413,-0.951,0.000,0.310,144.893,-7.215,-160.288,151.670,-7.757,-142.538
143.522,-7.484,-149.863,-0.951,0.000,0.310,140.044,-7.208,-158.971,147.000,-7.759,-140.754
138.767,-7.485,-148.315,-0.965,0.001,0.262,135.826,-7.218,-157.348,141.709,-7.751,-139.282
133.936,-7.481,-147.004,-0.951,-0.002,0.310,130.917,-7.210,-156.275,136.955,-7.752,-137.733
129.175,-7.488,-145.454,-0.977,0.001,0.214,126.623,-7.220,-154.864,131.728,-7.757,-136.044
124.266,-7.485,-144.381,-0.986,0.001,0.164,121.325,-7.228,-153.414,127.208,-7.743,-135.348
119.328,-7.480,-143.558,-0.977,-0.001,0.214,117.247,-7.217,-153.083,121.410,-7.744,-134.033
114.438,-7.486,-142.489,-0.998,0.001,0.066,112.834,-7.226,-152.106,116.041,-7.746,-132.872
109.393,-7.481,-142.154,-0.993,-0.001,0.116,107.311,-7.225,-151.679,111.475,-7.737,-132.629
104.420,-7.486,-141.573,-0.999,0.000,-0.033,103.774,-7.232,-151.302,105.066,-7.740,-131.844
99.367,-7.485,-141.738,-0.997,0.000,-0.082,98.236,-7.236,-151.422,100.498,-7.735,-132.054
94.378,-7.483,-142.151,-0.991,-0.001,-0.132,94.696,-7.237,-151.895,94.060,-7.729,-132.406
89.416,-7.490,-142.812,-0.961,0.001,-0.278,90.219,-7.246,-152.529,88.612,-7.733,-133.095
84.558,-7.485,-144.216,-0.946,-0.001,-0.325,85.846,-7.250,-153.880,83.270,-7.720,-134.551
79.825,-7.488,-145.844,-0.909,0.000,-0.418,82.532,-7.251,-155.211,77.117,-7.725,-136.478
75.259,-7.487,-147.944,-0.862,0.000,-0.506,78.512,-7.251,-157.400,72.006,-7.722,-138.487
70.925,-7.486,-150.487,-0.836,0.000,-0.549,74.894,-7.263,-159.118,66.956,-7.710,-141.855
66.739,-7.485,-153.232,-0.808,-0.001,-0.590,71.674,-7.260,-161.642,61.805,-7.711,-144.823
62.696,-7.488,-156.184,-0.777,0.000,-0.629,68.044,-7.265,-164.336,57.348,-7.712,-148.032
58.805,-7.489,-159.334,-0.675,0.002,-0.738,64.553,-7.270,-167.209,53.056,-7.709,-151.459
55.390,-7.481,-163.062,-0.745,-0.001,-0.667,61.524,-7.263,-170.641,49.256,-7.698,-155.484
51.645,-7.486,-166.412,-0.638,0.001,-0.770,58.651,-7.276,-172.828,44.638,-7.695,-159.996
48.418,-7.480,-170.304,-0.676,0.000,-0.737,54.917,-7.269,-177.572,41.918,-7.692,-163.037
45.034,-7.481,-173.994,-0.638,0.000,-0.770,52.540,-7.271,-180.217,37.528,-7.691,-167.771
41.839,-7.481,-177.848,-0.676,-0.001,-0.737,49.024,-7.274,-184.438,34.653,-7.688,-171.257
38.455,-7.487,-181.537,-0.559,0.001,-0.829,45.961,-7.283,-187.760,30.949,-7.692,-175.314
35.628,-7.481,-185.729,-0.600,0.000,-0.800,42.813,-7.280,-192.319,28.443,-7.683,-179.138
32.625,-7.481,-189.734,-0.639,-0.001,-0.769,40.709,-7.281,-195.186,24.542,-7.681,-184.283
29.426,-7.488,-193.585,-0.518,0.001,-0.855,37.227,-7.291,-199.433,21.625,-7.686,-187.736
26.807,-7.482,-197.910,-0.560,0.000,-0.829,34.307,-7.287,-204.141,19.308,-7.676,-191.679
24.004,-7.481,-202.057,-0.601,-0.001,-0.800,32.345,-7.288,-207.107,15.664,-7.674,-197.008
20.997,-7.487,-206.060,-0.518,0.001,-0.855,29.075,-7.296,-211.520,12.919,-7.678,-200.600
18.394,-7.484,-210.358,-0.560,0.000,-0.828,25.989,-7.301,-216.064,10.798,-7.668,-204.651
15.589,-7.487,-214.505,-0.518,0.000,-0.855,23.928,-7.300,-219.556,7.250,-7.673,-209.453
12.995,-7.486,-218.786,-0.518,0.000,-0.855,21.072,-7.301,-224.248,4.919,-7.670,-213.324
10.405,-7.485,-223.063,-0.475,0.001,-0.880,18.530,-7.307,-227.985,2.279,-7.663,-218.140
8.028,-7.481,-227.469,-0.518,0.000,-0.855,16.367,-7.300,-232.520,-0.311,-7.661,-222.417
5.434,-7.481,-231.750,-0.560,-0.001,-0.828,14.015,-7.303,-236.380,-3.147,-7.659,-227.121
2.629,-7.487,-235.897,-0.475,0.001,-0.880,10.968,-7.311,-240.949,-5.710,-7.663,-230.845
0.242,-7.485,-240.319,-0.518,0.000,-0.855,8.111,-7.315,-245.641,-7.627,-7.654,-234.997
-2.353,-7.486,-244.600,-0.475,0.000,-0.880,6.227,-7.314,-249.231,-10.933,-7.658,-239.968
-4.731,-7.484,-249.005,-0.518,0.000,-0.855,3.607,-7.314,-254.059,-13.069,-7.654,-243.951
-7.326,-7.487,-253.286,-0.475,0.000,-0.880,1.253,-7.319,-257.918,-15.906,-7.655,-248.654
-9.704,-7.485,-257.691,-0.475,0.000,-0.880,-1.367,-7.319,-262.746,-18.042,-7.652,-252.637
-12.080,-7.484,-262.091,-0.518,-0.001,-0.855,-3.720,-7.324,-266.604,-20.439,-7.644,-257.578
-14.675,-7.487,-266.372,-0.475,0.000,-0.880,-6.095,-7.325,-271.004,-23.254,-7.649,-261.740
-17.053,-7.486,-270.777,-0.475,0.000,-0.880,-8.716,-7.326,-275.832,-25.391,-7.646,-265.722
-19.429,-7.485,-275.177,-0.518,-0.001,-0.855,-11.069,-7.331,-279.690,-27.788,-7.639,-270.663
-22.024,-7.488,-279.457,-0.475,0.000,-0.880,-13.445,-7.331,-284.089,-30.603,-7.644,-274.825
-24.402,-7.486,-283.862,-0.431,0.001,-0.903,-16.065,-7.332,-288.917,-32.740,-7.641,-278.808
-26.558,-7.481,-288.381,-0.560,-0.001,-0.829,-17.979,-7.329,-293.013,-35.137,-7.633,-283.748
-29.388,-7.487,-292.570,-0.431,0.001,-0.903,-20.588,-7.337,-296.769,-38.188,-7.637,-288.372
-31.565,-7.482,-297.134,-0.560,-0.001,-0.829,-23.485,-7.335,-302.591,-39.645,-7.630,-291.676
-34.395,-7.487,-301.323,-0.431,0.001,-0.903,-25.595,-7.342,-305.522,-43.194,-7.633,-297.125
-36.572,-7.482,-305.886,-0.560,-0.001,-0.829,-28.492,-7.338,-311.344,-44.651,-7.625,-300.429
-39.402,-7.486,-310.076,-0.518,0.000,-0.856,-30.602,-7.345,-314.274,-48.201,-7.627,-305.878
-41.993,-7.487,-314.359,-0.474,0.001,-0.880,-33.914,-7.348,-319.817,-50.073,-7.627,-308.902
-44.368,-7.484,-318.766,-0.518,0.000,-0.856,-36.026,-7.347,-323.814,-52.709,-7.621,-313.719
