Category,Component,Parameter,Value
Drivetrain,Rear Differential,Coast Locking Multiplier,0.3
Front Axle,Wheel Config,Mass,21
Front Axle,Wheel Config,Radius,0.32
Front Axle,Wheel Config,Inertia,1.1
Front Axle,Tire Compound,Max Load Capacity,10000
Front Axle,Tire Compound,Friction Multiplier,1
Front Axle,Tire Compound,Rolling Resistance,0.015
Front Axle,Tire Compound,Load Sensitivity,0.15
Front Axle,Tire Compound,Long Relaxation Length,0.12
Front Axle,Tire Compound,Lat Relaxation Length,0.2
Front Axle,Tire Compound,Long B,10
Front Axle,Tire Compound,Long C,1.65
Front Axle,Tire Compound,Long D,1
Front Axle,Tire Compound,Long E,0.5
Front Axle,Tire Compound,Lat B,8
Front Axle,Tire Compound,Lat C,1.3
Front Axle,Tire Compound,Lat D,0.95
Front Axle,Tire Compound,Lat E,-0.5
Front Axle,Brakes,Max Brake Torque,2200
Front Axle,Brakes,Max Handbrake Torque,3500
Front Axle,Brakes,Has A B S,True
Front Axle,Brakes,Abs Slip Threshold,0.18
Front Axle,Brakes,Abs Release Multiplier,0.3
Front Axle,Suspension,Target Ride Height,0.45
Front Axle,Suspension,Bump Travel,0.15
Front Axle,Suspension,Droop Travel,0.12
Front Axle,Suspension,Spring Stiffness,45000
Front Axle,Suspension,Bump Damping,4500
Front Axle,Suspension,Rebound Damping,6000
Front Axle,Suspension,Blend Window,0.05
Front Axle,Suspension,Bump Stop Gap,0.02
Front Axle,Suspension,Bump Stop Stiffness,150000
Front Axle,Suspension,Absolute Max Force,150000
Front Axle,Suspension,Camber Gain Per Meter,10
Front Axle,Suspension,Bump Steer Per Meter,0
Rear Axle,Wheel Config,Mass,21
Rear Axle,Wheel Config,Radius,0.32
Rear Axle,Wheel Config,Inertia,1.1
Rear Axle,Tire Compound,Max Load Capacity,10000
Rear Axle,Tire Compound,Friction Multiplier,1
Rear Axle,Tire Compound,Rolling Resistance,0.015
Rear Axle,Tire Compound,Load Sensitivity,0.15
Rear Axle,Tire Compound,Long Relaxation Length,0.12
Rear Axle,Tire Compound,Lat Relaxation Length,0.2
Rear Axle,Tire Compound,Long B,10
Rear Axle,Tire Compound,Long C,1.65
Rear Axle,Tire Compound,Long D,1
Rear Axle,Tire Compound,Long E,0.5
Rear Axle,Tire Compound,Lat B,8
Rear Axle,Tire Compound,Lat C,1.3
Rear Axle,Tire Compound,Lat D,0.95
Rear Axle,Tire Compound,Lat E,-0.5
Rear Axle,Brakes,Max Brake Torque,2200
Rear Axle,Brakes,Max Handbrake Torque,3500
Rear Axle,Brakes,Has A B S,True
Rear Axle,Brakes,Abs Slip Threshold,0.18
Rear Axle,Brakes,Abs Release Multiplier,0.3
Rear Axle,Suspension,Target Ride Height,0.45
Rear Axle,Suspension,Bump Travel,0.12
Rear Axle,Suspension,Droop Travel,0.12
Rear Axle,Suspension,Spring Stiffness,38000
Rear Axle,Suspension,Bump Damping,3800
Rear Axle,Suspension,Rebound Damping,5000
Rear Axle,Suspension,Blend Window,0.05
Rear Axle,Suspension,Bump Stop Gap,0.02
Rear Axle,Suspension,Bump Stop Stiffness,150000
Rear Axle,Suspension,Absolute Max Force,150000
Rear Axle,Suspension,Camber Gain Per Meter,12
Rear Axle,Suspension,Bump Steer Per Meter,0
